,url,segment_no,cumle_icerigi,kelime_sayısı
0,https://www.haberler.com/yurt-genelinde-evde-kal-cagrisina-kismen-uyuluyor-13221570-haberi/,0,Yeni tip koronavirüsle Kovid mücadele tedbirleri kapsamında Mersin de Evde kal Türkiye,12
1,https://www.haberler.com/yurt-genelinde-evde-kal-cagrisina-kismen-uyuluyor-13221570-haberi/,1,çağrısına kısmen uyuluyor Kentte sahil şeridindeki Adnan Menderes Bulvarı nda araç trafiğinde kısmen yoğunluk görülse kıyıdaki yürüyüş bisiklet yolları oyun grupları sakin kaldı Kentin hareketli noktalarından Cumhuriyet Alanı Ocak Atatürk Meydanı Beşiktal Meydanı sahil bandındaki Kültür Park tedbirler nedeniyle boş kaldı Kaynak AA,43
2,https://www.haberler.com/marmaris-te-kayip-kisinin-cesedi-golette-bulundu-13221569-haberi/,0,Muğla nın Marmaris ilçesinde kayıp olarak aranan kişinin cesedi gölette bulundu Sarıana Mahallesi ndeki Muğla Büyükşehir Belediyesi Mezbahanesi civarındaki gölette ceset gören görevli durumu İlçe Emniyet Müdürlüğüne bildirdi İhbar üzerine bölgeye giden polis ekipleri cesedi göletten çıkardı Cesedin bir süredir kayıp olarak aranan Alkan Keskin ait olduğu tespit edildi Keskin in cenazesi savcının incelemesinin ardından otopsi yapılmak üzere Muğla Adli Tıp Kurumu morguna götürüldü Kaynak AA,66
3,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,0,Ev Mutfak Eşyaları Sanayicileri İhracatçıları Derneği Başkanı Burak Önder Pandemi mutfak eşyaları sektöründe üretimin yüzde ini olumsuz etkilemiş durumda,19
4,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,1,Sektörümüzün mücbir sebebe dahil olması gerektiğini bir yinelemek istiyorum,9
5,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,2,açıklamasında bulundu EVSİD den yapılan açıklamaya göre milyar dolar ihracatla kapatan ev mutfak eşyaları sektörü küresel salgının üreticiler ihracat üzerinde yarattığı sonuçların yer aldığı katma değeri yüksek bir anket çalışmasına imza attı Açıklamada görüşlerine yer verilen EVSİD Başkanı Burak Önder Covid un sektör üzerinde yarattığı sonuçları değerlendirdi,47
6,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,3,Pandeminin mutfak eşyaları sektöründe üretimin yüzde ini olumsuz etkilediğini belirten Önder şunları aktardı Firmalarımızın yüzde nisan ayında ihracat oranlarının geçtiğimiz yılın aynı dönemine göre yüzde ın üzerinde düştüğünü belirtti,29
7,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,4,Kapasitenin eski düzeyine gelmesi firmaların yüzde si üç aydan uzun bir süreyi is aret ederken digˆer yarısı üç aydan kısa süreyi öngörüyor Afrika Ortadogˆu görece kısa sürede açılacak pazarlar olarak görülse genel olarak salgının seyrini izlemek gerektiği görüşü hakim,39
8,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,5,Firmalarımızın tamamı yurt dışı fuarların Haziran Ağustos döneminde bas lamasına sıcak bakmıyor,12
9,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,6,Eylül Ekim dönemi yüzde sı katılım gerçekles tirebilecegˆini ifade ederken üreticilerimizin büyük çogˆunlugˆu ubat ayını is aret etmis durumda,19
10,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,7,İhracatçımıza bugünlerde fazla destek olmalıyız Anketten çıkan sonuçların yaşanan zor dönemin bir özeti olduğunu ifade eden Önder Küresel ölçekte zor bir dönemden geçiyoruz,23
11,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,8,yılı ülke olarak hedeflediğimiz milyar dolarlık gelirin büyük bir kısmını elde edemeyeceğiz görünüyor süreçten krizden hızlı çıkabilmemiz elimizdeki önemli iki enstrüman sanayi ihracat olacak,24
12,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,9,Mutfak eşyaları sektörünün odak noktası ihracat Bu noktada tedarik zinciri finansal yapımızda oluşan hasarları minimize etmek önemli,17
13,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,10,Ham madde tedariki lojistik ambalaj personel istihdamı pazarlama katmanlarda sıkıntılar yaşanıyor önlem almazsak korona salgını sona erdiğinde bizleri kolay bir süreç beklemiyor,22
14,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,11,Bu nedenle üretimleri durma noktasına gelen ihracatı Türkiye genel ihracatının üzerinde yaklaşık yüzde ler oranında düşüş gösteren sanayicilerimize mutlak suretle destek olmamız gerekiyor,23
15,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,12,ifadelerini kullandı Proaktif önlemler şartSektörlerinin mücbir sebebe dahil olması gerektiğini bir yinelemek istediğini anlatan Önder ifadelere yer verdi Daha proaktif davranarak çek ödemelerinde KGF kolaylığı etkili bir KDV reformu sanayiye elektrik doğal gazda indirim KDV alacakları kadar firmalara koşulsuz kefalet verilmesi aksiyonlar alabilirsek çarkların yeniden dönmesini sağlayabiliriz,47
16,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,13,İhracatçılarımızın ülkemizin yarınları açısından kritik öneme sahip olduğunu düşünüyorum dönemi geride bırakacağımızdan eminim,13
17,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,14,Kritik nokta zor süreci hasarla atlatmak,6
18,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,15,Bunu gerçekleştirmek elimizden gelenin fazlasını yapıyor olacağız,7
19,https://www.haberler.com/evsid-baskani-onder-ihracatcimizi-ekonomik-13221568-haberi/,16,Kaynak AA,2
20,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,0,Koronavirüs salgını nedeniyle spor branşlarında olduğu motor sporlarına ara verilmişti,10
21,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,1,Profesyonel yarışçılar sosyal mesafeyi korumak evde kalırken motor sporlarıyla ilgilenenlerin yarışlar duyduğu özlem giderek artıyor,15
22,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,2,Ford Mayıs günü motor spor yarışlarını özleyenleri ekran başına kilitleyecek Formula in Sesi Serhan Acar ın AnlatımıylaYıllardır destekçişi olduğu Castrol Ford Team Türkiye ralli takımı Avrupa Şampiyonluğu dahil olmak üzere birçok başarıya imza atan Ford dünyayı etkisi altına alan Kovid salgını dolayısıyla durdurulan motor spor yarışlarını ekranlara taşıyacak,48
23,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,3,Her yaştan motor spor tutkununun yarış hasretini dindirmek planladığı özel bir etkinliği duyurdu,13
24,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,4,Mayıs Atatürk Anma Gençlik Spor Bayramı nda sanal ortamda düzenlenecek Mayıs Gençlik Spor Yarışı etkinliği Türkiye nin yüksek kalitede gerçekleştirilecek dijital motor sporları canlı yayını olacak,26
25,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,5,Türkiye de ten beri Formula yarışlarını anlatan Formula in Sesi olarak bilinen Serhan Acar muhteşem anlatımıyla herkesi adeta ekranlara kilitleyecek Spor Oyuncuları Mücadele EdecekGerçek hayattaki sürüş deneyimini neredeyse birebir simüle edebilen sim racing simülasyon yarış oyunlarının yer aldığı iRacing platformunda gerçekleşecek yarış Ford Fiesta lar Rallycross yarış tipinde başlayacak,49
26,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,6,Yarışta Castrol Ford Team Türkiye nin ralli pilotları Murat Bostancı Ali Türkkan Ümit Can Özdemir Emre Hasbay Can Sarıhan Spor oyuncuları Mervan Tepelioğlu Buğra Akpınar Atakan Tarkan Ozan Ülkügil Emir Aşarı mücadele edecek Motor Spor Yarışı Canlı YayınlanacakSpor gençliğe armağan edilen milli bayramımız Mayıs kutlayacak olan etkinlik kapsamında özel bir sanal kortej gerçekleştirilecek,53
27,https://www.haberler.com/ford-sanal-motor-sporu-yarisi-duzenliyor-ralli-13221567-haberi/,7,Hem özel kortej yayınını heyecanlı motor sporu yarışı Ford Türkiye YouTube kanalında Mayıs Salı günü saat da canlı izlenecek,19
28,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,0,Erciyes Üniversitesi ERÜ Enfeksiyon Hastalıkları Klinik Mikrobiyoloji Ana Dalı Başkanı Prof Dr Orhan Yıldız paranın büyük risk taşıdığını ifade etti,20
29,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,1,Prof Dr Orhan Yıldız ın yaptığı açıklamaları bir araya getirdik Para Üstü Almayacak Şekilde Alışveriş Yapılması Gerekiyor,17
30,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,2,Haber Global in aktardığına göre Yıldız alışverişlerde kağıt para kullanılmasının virüsün bulaşma riski açısından sıkıntı verici olduğunu söyledi,18
31,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,3,Yıldız paralar hakkında açıklamasında cümlelere yer verdi Alışverişler sırasında paranın el değiştirmesi büyük risk oluşturmaktadır,15
32,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,4,Çünkü para yıkanabilir olarak gözükmez,5
33,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,5,Para elden ele gezer virüs bulaştırabilir,6
34,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,6,Bundan korunmak mümkünse para üstü almayacak şekilde alışveriş yapmak gerekir,10
35,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,7,Kredi kartlarının temassız özelliğini kullanmakta yarar vardır İlla para alışveriş yapıldıysa para üzeri alındıysa alınan para ayrı bir yerde mümkünse poşet içinde muhafaza edilmelidir,24
36,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,8,Eve gelindiğinde para dezenfektan silinmelidir,5
37,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,9,Para sıcak ortamda güneş altında bekletilebilir,6
38,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,10,ATM den alınan para risk taşımaz elden ele gezen para virüs sorunu oluşturur,13
39,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,11,Koronavirüste Vaka Sayısı Can Kaybı Kaç Oldu,7
40,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,12,Mayıs itibari ülkemizde toplam vaka sayısı oldu,7
41,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,13,Toplam can kaybı yükseldi,4
42,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,14,Toplam yoğun bakımdaki hasta sayısı toplam iyileşen hasta sayısı olarak açıklandı,11
43,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,15,Toplam entübe hasta sayısının olduğu duyuruldu,6
44,https://www.haberler.com/profesor-doktor-paralar-hakkinda-uyardi-13221566-haberi/,16,Toplam test sayısının olduğu paylaşıldı,5
45,https://www.haberler.com/istanbul-da-atik-sularda-koronavirus-taramasi-13221565-haberi/,0,Tarım Orman Bakanı Bekir Pakdemirli tarafından geçtiğimiz günlerde yapılan açıklamalarda atık sularda koronavirüs taraması yapılacağı belirtilmişti,16
46,https://www.haberler.com/istanbul-da-atik-sularda-koronavirus-taramasi-13221565-haberi/,1,Türkiye Su Enstitüsü Başkanlığı koordinesinde gerçekleşecek olan çalışmada pilot il olarak seçilen İstanbul da ilk tarama çalışmalarına başlandığı duyuruldu Atık Sularda Koronavirüs Bulunur,23
47,https://www.haberler.com/istanbul-da-atik-sularda-koronavirus-taramasi-13221565-haberi/,2,Geçtiğimiz haftalarda ortaya çıkan detaylara göre yeni tip koronavirüs atık sularda yaşayabiliyor,12
48,https://www.haberler.com/istanbul-da-atik-sularda-koronavirus-taramasi-13221565-haberi/,3,Bu haberlerin ardından dünyanın dört bir yanında atık sulara yönelik araştırma çalışmalarının başladığını görmüştük,14
49,https://www.haberler.com/istanbul-da-atik-sularda-koronavirus-taramasi-13221565-haberi/,4,Nitekim araştırmalar ülkemizde yapılmaya başlandı Tarım Orman Bakanlığı önderliğinde yapılan çalışmada Marmara Üniversitesi Çevre Mühendisliği Bölümü Öğretim Üyesi Doç,19
50,https://www.haberler.com/istanbul-da-atik-sularda-koronavirus-taramasi-13221565-haberi/,5,Dr Bilge Alpaslan Kocamemi Moleküler Biyolog Dr Halil Kurt danışmanlık yaparken Türkiye Su Enstitüsü Başkanlığı Devlet Su İşleri Genel Müdürlüğü tarafından çalışmalara katkı sağlanıyor Yapılan çalışmada atık sularda yer alan yeni tip koronavirüs miktarı vaka yayılımının detaylı olarak incelenmesi hedefleniyor,40
